epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1402.21,1.47101,1.31521,1.44174,0.77176,0.63266,0.73062,0.45048,1.43282,1.1503,1.49781,0.007921,0.007921,0.007921
44,1434.9,1.47842,1.27435,1.45221,0.71879,0.65121,0.72231,0.43178,1.46833,1.16061,1.52995,0.0078715,0.0078715,0.0078715
45,1467.31,1.45032,1.25973,1.441,0.59265,0.47318,0.50572,0.29802,1.75927,2.19596,1.86914,0.007822,0.007822,0.007822
46,1500.5,1.49631,1.30874,1.46184,0.72316,0.58914,0.68968,0.4016,1.52056,1.4134,1.57128,0.0077725,0.0077725,0.0077725
47,1533.03,1.4749,1.27409,1.45195,0.71043,0.59041,0.69837,0.41581,1.46612,1.3603,1.51853,0.007723,0.007723,0.007723
48,1565.53,1.47796,1.26806,1.45174,0.71784,0.61949,0.70155,0.42313,1.50714,1.23189,1.57729,0.0076735,0.0076735,0.0076735
49,1599.06,1.44673,1.22483,1.41983,0.62292,0.54309,0.60818,0.36292,1.55138,1.68422,1.61218,0.007624,0.007624,0.007624
50,1632.48,1.4854,1.27532,1.44392,0.72032,0.63478,0.72671,0.42435,1.49674,1.11734,1.52815,0.0075745,0.0075745,0.0075745
51,1665.23,1.46901,1.25769,1.43942,0.67783,0.58519,0.67947,0.40047,1.54228,1.50976,1.60571,0.007525,0.007525,0.007525
52,1697.9,1.46661,1.2535,1.4286,0.76529,0.63832,0.72755,0.43694,1.49826,1.13568,1.54662,0.0074755,0.0074755,0.0074755
53,1730.97,1.45792,1.2052,1.41636,0.70196,0.6849,0.73517,0.44574,1.484,1.13571,1.53117,0.007426,0.007426,0.007426
54,1763.64,1.44192,1.23197,1.43624,0.69918,0.68463,0.73161,0.43807,1.47003,1.15629,1.53028,0.0073765,0.0073765,0.0073765
55,1796.18,1.46076,1.2455,1.44028,0.74568,0.64037,0.74076,0.45096,1.42252,1.14466,1.4893,0.007327,0.007327,0.007327
56,1828.79,1.45809,1.2446,1.44146,0.73454,0.66067,0.73867,0.45566,1.44893,1.12881,1.50132,0.0072775,0.0072775,0.0072775
57,1861.13,1.44524,1.22791,1.42397,0.73834,0.69289,0.75876,0.46331,1.44324,1.1202,1.49959,0.007228,0.007228,0.007228
58,1894.19,1.44273,1.20979,1.42327,0.75559,0.63759,0.73357,0.43861,1.48897,1.15941,1.52846,0.0071785,0.0071785,0.0071785
59,1927.02,1.44938,1.19895,1.42817,0.69063,0.70954,0.7468,0.43513,1.49316,1.12496,1.549,0.007129,0.007129,0.007129
60,1959.63,1.42541,1.20492,1.41656,0.77771,0.68224,0.76758,0.46673,1.43059,1.03809,1.49409,0.0070795,0.0070795,0.0070795
61,1992.32,1.43829,1.19989,1.42151,0.75514,0.67534,0.7433,0.44547,1.48051,1.16921,1.53546,0.00703,0.00703,0.00703
62,2024.96,1.44369,1.19941,1.4211,0.74519,0.66876,0.75014,0.44927,1.43972,1.11061,1.4901,0.0069805,0.0069805,0.0069805
63,2057.6,1.42941,1.20992,1.42149,0.75447,0.66086,0.74925,0.44779,1.45484,1.13786,1.51329,0.006931,0.006931,0.006931
64,2090.87,1.44232,1.20118,1.4116,0.72532,0.72043,0.75624,0.46164,1.41062,1.07354,1.49378,0.0068815,0.0068815,0.0068815
65,2123.58,1.42246,1.16151,1.4012,0.73191,0.71577,0.76588,0.46568,1.42497,1.05509,1.4725,0.006832,0.006832,0.006832
66,2156.18,1.41641,1.16846,1.40736,0.72781,0.66436,0.70563,0.43555,1.46583,1.19377,1.55337,0.0067825,0.0067825,0.0067825
67,2188.74,1.43753,1.18303,1.43625,0.72622,0.69499,0.75525,0.44366,1.48859,1.05241,1.52823,0.006733,0.006733,0.006733
68,2221.31,1.41182,1.1634,1.39641,0.74787,0.69728,0.75873,0.47009,1.38818,1.06651,1.4674,0.0066835,0.0066835,0.0066835
69,2254.56,1.43325,1.17228,1.4165,0.72719,0.71126,0.76043,0.47241,1.39575,1.10995,1.48175,0.006634,0.006634,0.006634
